Lordosis_Normal,Lordosis_Acceleration  ,Lordosis_Deceleration ,Unbraced_Normal,Unbraced_Acceleration,Unbraced_Deceleration ,Kyphosis_Normal,Kyphosis_Acceleration,Kyphosis_Deceleration ,Neutral_Normal,Neutral_Acceleration,Neutral_Deceleration 
57.36,55.47,47.11,58.63,57.02,62.66,57.83,57.06,57.89,56.81,58.4,59.32
65.08,63.15,69.74,66.38,68.73,71.51,64.11,65.67,70.81,65.1,65,70.95
54.24,58.82,40.92,56.4,59.64,54.98,60.53,61.53,49.32,59.56,60.29,51.91
61.83,61.17,60.53,61.46,61.63,62.44,61.82,61.72,53.06,61.49,59.63,53.13
51.95,46.6,43.19,51.75,49.25,52.85,51.92,46.61,34.57,50.36,46.96,47.29
54.22,55.24,43.15,53.93,52.65,56.59,54.74,52.06,48.38,54.3,53.2,45.72
57.86,57.16,58.57,59.65,55.48,59.78,59.03,57.6,63.23,58.27,54.44,58.23
59.03,58.81,59.32,58.44,61.49,60.7,56.89,60.25,47.54,43.09,59.52,54.86
58.46,58.25,51.14,56.4,54.77,47.47,57.68,57.2,45.81,58.15,58.22,56.01
63.08,65.31,59.49,63.1,64.42,65.67,63.66,65.19,68.9,61.95,64.72,58.28
57.19,51.27,38.65,58.24,51.53,45.33,58.41,52.25,50.97,58.81,49.46,43.26
58.21,54.47,52.67,58.03,55.02,51.97,58.08,56.41,60.48,58.6,55.28,56.56
59.03,54.73,29.83,60.1,59.88,48.23,60.41,57.4,41.6,58.4,59.62,40.1
60.34,52.51,45.36,61.13,48.22,51.26,60.32,47.62,49.46,61.56,49.13,51.94
59.62,60.51,58.83,59.14,60.66,66.44,59.93,61.01,63.68,60.58,61.33,65.43
